mass,description,periastrontime,semimajoraxis,discoveryyear,list,eccentricity,period,discoverymethod,lastupdate,periastron,name
,"Kepler-178 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-178 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,20.552802,transit,14/02/26,,Kepler-178 c
,"Kepler-179 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-179 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,6.400130,transit,14/02/26,,Kepler-179 c
,"Kepler-179 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-179 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,2.735926,transit,14/02/26,,Kepler-179 b
2.47,Kepler-17b is a planet on a short orbit around a solar mass star. One year on this planet equals 1.5 days on Earth. Star spots on the host star constrain the eccentricity and obliquity of the planet.,,0.02591,2011,Confirmed planets,0.011,1.4857108,transit,15/12/03,,Kepler-17 b
,"Kepler-180 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-180 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,41.885775,transit,14/02/26,,Kepler-180 c
,"Kepler-180 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-180 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,13.817124,transit,14/02/26,,Kepler-180 b
,"Kepler-181 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-181 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,4.302149,transit,14/02/26,,Kepler-181 c
,"Kepler-181 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-181 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,3.137873,transit,14/02/26,,Kepler-181 b
,"Kepler-182 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-182 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,20.684342,transit,14/02/26,,Kepler-182 c
,"Kepler-182 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-182 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,9.825792,transit,14/02/26,,Kepler-182 b
,"Kepler-183 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-183 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,11.637071,transit,14/02/26,,Kepler-183 c
,"Kepler-183 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-183 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,5.687945,transit,14/02/26,,Kepler-183 b
,"Kepler-184 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-184 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,10.687576,transit,14/02/26,,Kepler-184 b
,"Kepler-184 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-184 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,20.303005,transit,14/02/26,,Kepler-184 c
,"Kepler-184 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-184 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,29.022358,transit,14/02/26,,Kepler-184 d
,"Kepler-185 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-185 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,20.729042,transit,14/02/26,,Kepler-185 c
,"Kepler-185 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-185 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,1.632900,transit,14/02/26,,Kepler-185 b
,"Kepler-186 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-186 c are still unknown, the object is highly unlikely to be a false positive.",,0.0520,2014,Confirmed planets,,7.267301,transit,14/04/17,,Kepler-186 c
